Time Step,Objective
571,2518390.792285751
572,2446344.6631039823
573,2369486.238601704
574,2155244.7494121203
575,1879276.8046601093
576,1683712.4198941365
577,1638932.2087272725
578,1598772.2464033077
579,1615768.098594945
580,1701629.0276530646
581,1853574.7691241798
582,2305140.453936327
583,2606157.873789097
584,2658801.959541757
585,2527733.7673126864
586,2407760.84874576
587,2362807.8679893827
588,2303841.38460916
589,2281544.246649411
590,2277436.4205084243
591,2338981.02300236
592,2409497.3078904003
593,2610210.631476213
594,2731289.3431876507
595,2591287.686620344
596,2425599.1408868446
597,2272516.769013676
598,2122748.5911141797
599,1874511.976259089
600,1715613.920717907
601,1633138.5175575376
602,1570155.7483893703
603,1567369.1744787183
604,1583042.9558324057
605,1700983.4682044405
606,2037192.9790780144
607,2268397.477649326
608,2268264.2613761807
609,2154265.3150613564
610,2080960.4193180874
611,2027269.026971711
612,1972476.4638966136
613,1956306.0643122504
614,1941979.6418118384
615,1955025.1663320053
616,1939446.5842879976
617,2050851.2325574167
618,2136360.697270416
619,2092818.056927103
620,1955705.8799875039
621,1906863.827708358
622,1796539.178958606
623,1646629.6657590994
624,1437739.3432565164
625,1311020.684912386
626,1260516.5719961629
627,1233870.996071423
628,1304796.2156882319
629,1422615.1628176859
630,1809539.349858106
631,2095725.3206212092
632,2291285.3313840954
633,2131912.3920776006
634,2031925.9590246058
635,1965898.4316611993
636,1923977.2968781106
637,1922036.045126387
638,1915060.2149442057
639,2012165.6165706762
640,2153402.2940518344
641,2424321.3004844226
642,2524587.2743700678
643,2412079.527490581
644,2254926.312952777
645,2173511.701381944
646,2062438.9414932241
647,1838503.4826961185
648,1629654.7894915224
649,1513049.670833424
650,1425322.8803400283
651,1386799.665417451
652,1338978.2953796606
653,1242609.7922563325
654,1218411.6933234474
655,1305992.6833490937
656,1434475.0628261347
657,1476169.933072982
658,1419545.6608918656
659,1339476.5130612205
660,1271206.4313634883
661,1225086.4942787501
662,1245652.8943061715
663,1291314.397589852
664,1391158.7519303558
665,1550588.2262908157
666,1628297.6384382925
667,1527867.8377992373
668,1374958.386151398
669,1321638.6639663621
670,1272493.4380566166
671,1124896.216580729
672,973801.677515963
673,887405.8948735885
674,844434.569412615
675,814335.6440481131
676,787533.9161518081
677,749405.1581034841
678,717904.2456669017
679,782828.6451544957
680,912255.3846336356
681,992826.4138073659
682,1002057.5014361901
683,1066928.816121467
684,1095148.0441009684
685,1046997.9132434702
686,1002519.7182407985
687,990936.7346272087
688,1049627.0157087026
689,1310936.8330924362
690,1486165.7320041442
691,1474559.591446795
692,1361439.5515044625
693,1347013.2019773328
694,1351754.581710661
695,1174493.7577930659
696,1047886.6302904136
697,979310.7392497791
698,947299.924174601
699,966555.8480772111
700,1040351.7538239146
701,1166621.775222308
702,1605885.7934571474
703,1936895.5309555284
704,2087274.252954563
705,2074042.0782429536
706,2085223.9479640592
707,2083179.4186415118
708,2084138.88367192
709,2092256.9261527024
710,2106095.970106354
711,2167025.7857632604
712,2153796.7061080644
713,2302225.5604082257
714,2379534.8647018643
715,2290788.1895597177
716,2174178.080269609
717,2113650.925868256
718,2026617.1731981891
719,1823756.2479569016
720,1683277.708424683
721,1608621.1270776398
722,1608726.958752604
723,1648509.3769773953
724,1671270.4245419935
725,1777894.6478914286
726,2126708.0303463396
727,2397891.361906315
728,2427004.4569567787
729,2253994.865266059
730,2134048.7881243797
731,2067797.4344136533
732,1998599.965380368
733,2066907.1497702585
734,2073520.1607142505
735,2137708.3534604777
736,2165631.2595418566
737,2353104.5469374415
738,2467825.785044237
739,2385231.392489185
740,2266395.554907101
741,2195004.9278467596
742,2082047.1115924087
743,1823978.8152349298
744,1705504.4581524723
745,1590786.1035086005
746,1503818.2630565434
747,1457913.5446513165
748,1458571.253642356
749,1534972.553445084
750,1863564.0904729436
751,2124805.2828123085
752,2117939.8237782335
753,1958984.9389132885
754,1833211.2881691654
755,1728874.7281815782
756,1633131.1428183783
757,1589895.6254231746
758,1639236.7515535185
759,1719487.886558649
760,1766133.743164681
761,1943048.4393523736
762,2154807.0607137843
763,2065608.4993685049
764,1917529.276006664
765,1872782.2634798945
766,1818980.1125308045
767,1652692.8715465162
768,1532726.5582679098
769,1421606.4734833043
770,1396959.8323764454
771,1380532.7686583076
772,1398037.8110011462
773,1495770.1385201588
774,1777735.5360938837
775,2082352.6102068368
776,2104453.868922025
777,1919424.7323978574
778,1773065.7596288705
779,1644559.9290000922
780,1591613.1457420427
781,1608757.1396377652
782,1645949.7791143158
783,1792141.540766054
784,1935100.2969758604
785,2192783.0487414445
786,2377416.5018373113
787,2359384.875671304
788,2330785.0557129355
789,2357257.5184179726
790,2364068.968420917
791,2192542.312740312
792,2057841.3698543
793,1996397.932351263
794,1960446.3790625143
795,1948197.8949029609
796,1977316.772178085
797,2050142.7980230048
798,2357869.4632806145
799,2606291.383439046
800,2650285.390455198
801,2465813.8029816626
802,2264848.9269987736
803,2106782.937201002
804,2045953.350451414
805,1993337.2478376066
806,2025497.901657098
807,2158379.663902712
808,2218031.918500118
809,2435225.5412572008
810,2578575.9819776616
811,2444493.6394560775
812,2226890.610133582
813,2193615.5067595067
814,2185755.513440955
815,2052555.688224777
816,1854973.5875749802
817,1727943.1797385858
818,1626731.1121383768
819,1598493.4357049582
820,1573451.509683493
821,1528918.9775428148
822,1487698.1068054673
823,1612472.756320743
824,1787288.6410685722
825,1743214.971367618
826,1627044.282143629
827,1474451.0465875466
828,1380482.1799422083
829,1384228.965929829
830,1508104.9077451164
831,1727240.6276845327
832,1935927.1364236614
833,2192628.7206930597
834,2399817.6839661584
835,2294376.420533967
836,2132154.3418451664
837,2150320.9095869916
838,2171747.084889364
839,2033075.4970515862
840,1827985.211535351
841,1690391.7860342679
842,1633617.0506783128
843,1574948.7011438273
844,1512896.3846611495
845,1420258.873138956
846,1269287.2521432186
847,1286491.4481470583
848,1399044.2251823875
849,1470624.2720511225
850,1431405.1578061064
851,1379552.860956562
852,1326861.860809114
853,1276183.8213853575
854,1292831.0091049045
855,1449734.3775329776
856,1574614.472569969
857,1741998.0998342314
858,1939159.8251799953
859,1894769.1787530116
860,1794998.1485910504
861,1787916.1945803137
862,1814321.9810131143
863,1632631.6507182787
864,1483600.316718782
865,1379156.909370106
866,1328360.4046015812
867,1280485.306589295
868,1314751.2752202672
869,1459670.4327873231
870,1816472.6926282605
871,2029406.6478758175
872,2034681.6021281364
873,1935402.3209435008
874,1796705.894037517
875,1708956.7946672414
876,1646991.9364959898
877,1658308.2242069256
878,1692262.7387788403
879,1847411.9731413934
880,2022929.2134000792
881,2301220.5582898357
882,2510094.8205789565
883,2499619.6015712325
884,2406510.8241990726
885,2407400.42129663
886,2349358.5411474495
887,2147690.8832620364
888,2039063.743854721
889,1967996.4041289135
890,1930070.7558760606
891,1939276.0218143193
892,1916818.732164424
893,1972208.5521652673
894,2224996.0455217045
895,2479852.741618342
896,2466420.884484064
897,2212305.038088373
898,2019915.1955169088
899,1918490.5903304305
900,1784834.2892352128
901,1798932.3951624052
902,1812798.4696279601
903,1941503.1298939323
904,1936205.0466427116
905,2084033.9768782223
906,2215117.020648323
907,2160375.404774678
908,2044519.7811629998
909,2020278.7187090477
910,1918884.864537164
911,1724274.9897114346
912,1528891.8324042861
913,1433697.9145752096
914,1352663.202053307
915,1340597.645165669
916,1352682.817098988
917,1398946.3309954267
918,1648002.2750069099
919,1807900.0089340834
920,1822115.1725315577
921,1674913.81824506
922,1522551.012085626
923,1448647.6124159708
924,1388564.423797147
925,1454173.8030577458
926,1605193.3864253103
927,1829829.1802114837
928,1950957.053445487
929,2185339.7148862123
930,2365572.512476662
931,2274519.9695729776
932,2072199.8759267712
933,1986036.961682165
934,1898620.0191728896
935,1731796.364260982
936,1554904.6209979653
937,1405789.5678681813
938,1327571.4108162036
939,1305599.7283291412
940,1301900.320212923
941,1387786.0125225303
942,1704561.1768835292
943,1970658.4853776402
944,1941396.0576749453
945,1878243.4104245894
946,1840455.7867558436
947,1855607.355910388
948,1859643.2719816715
949,1844109.1766830862
950,1883714.7649887472
951,1947032.8526330194
952,1932434.9665596953
953,2093364.8644306534
954,2305767.08999289
955,2279246.757651636
956,2144986.5391246444
957,2125865.5249646953
958,2152416.3933874783
959,1965179.5877043894
960,1809643.5103291443
961,1737736.177814519
962,1701331.2777564933
963,1649193.0476682312
964,1632233.2811702571
965,1701786.4819170523
966,2025602.6679432672
967,2219565.4224347966
968,2216089.2740041777
969,2084360.4424499755
970,1978730.1843503013
971,1898538.0102274152
972,1862004.3629022408
973,1849976.3567968295
974,1887720.6584283807
975,1999175.7641549613
976,2101243.4452381
977,2304079.6039119954
978,2558909.50065356
979,2472409.3047672575
980,2375280.8281396073
981,2439702.1284156516
982,2419132.874303026
983,2245397.7777609373
984,2076440.643072909
985,1953286.0503487303
986,1869180.795888584
987,1858404.221614763
988,1842544.8352039354
989,1812856.011911109
990,1801816.3388832584
991,1935429.1362492212
992,2051417.7488417088
993,2076889.730570694
994,2008645.293183824
995,1891892.8435348815
996,1840268.0588251732
997,1778254.4567894521
998,1762921.8018119808
999,1869400.751169788
1000,2037084.033645771
1001,2290420.5186276454
1002,2563867.4668441205
1003,2451525.1719950363
1004,2339522.6277674926
1005,2327438.324466702
1006,2350497.3563861186
1007,2240744.2912281333
1008,2116328.0434871255
1009,2003335.2019846153
1010,1967246.2845446523
1011,1903819.1880104307
1012,1860096.277202185
1013,1822578.3428664922
1014,1710868.5762099205
1015,1696618.9221910874
1016,1767875.0610781747
1017,1806845.9010989305
1018,1751373.0900741545
1019,1716659.4525164517
1020,1746154.0621197408
1021,1714029.198188485
1022,1707263.2727206356
1023,1808090.9074790748
