Time Step,Import/Export_1,Import/Export_2,Import/Export_3
2387,-887.2256500000003,-996.3329000000001,-1000.0
2388,-889.2138699999996,-998.9695000000002,-1000.0
2389,-862.65704,-999.0511999999999,-1000.0
2390,-863.3600499999993,-998.2057499999999,-996.4819000000025
2391,-903.3836699999993,-994.9275500000001,-980.0542600000008
2392,-986.53125,-993.0931399999997,-1000.0
2393,-1000.0,-994.5823399999999,-888.2845500000003
2394,-1000.0,-999.0413000000001,-566.1994000000004
2395,-1000.0,-999.1075999999998,-404.86025999999947
2396,-1000.0,-998.9523000000002,-452.4862699999999
2397,-1000.0,-998.9434999999999,-486.90734999999995
2398,-1000.0,-998.2792399999998,-655.6408699999997
2399,-1000.0,-993.8517000000002,-758.6460999999999
2400,-917.6962999999996,-985.5877999999998,-735.9185
2401,-838.2640000000001,-981.9008000000001,-632.01807
2402,-810.0088500000002,-980.1398299999998,-599.0262
2403,-819.5353000000005,-978.4296000000002,-614.98096
2404,-840.3514000000005,-977.2858999999999,-649.98865
2405,-923.6725499999993,-979.8287400000002,-771.5175
2406,-989.5610400000005,-987.0841700000001,-789.51825
2407,-968.0472,-990.3513,-348.9411
2408,-970.7362699999994,-996.6558,157.04633000000013
2409,-960.48315,-995.7436499999999,-418.80060000000003
2410,-988.3894700000001,-990.7388999999998,-956.2299000000002
2411,-958.0143399999997,-991.7424000000001,-983.9933
2412,-946.5004000000008,-991.3894699999998,-953.6195
2413,-960.2446999999993,-989.9643999999998,-947.4607500000002
2414,-959.0666999999994,-988.7159000000001,-933.4346299999997
2415,-955.1394,-986.2701399999999,-923.99786
2416,-964.9143000000004,-984.4555699999999,-934.1709599999999
2417,-1000.0,-989.1629599999997,-1000.0
2418,-1000.0,-994.6139000000003,-1000.0
2419,-1000.0,-995.1689499999998,-973.2989000000002
2420,-996.2094999999999,-994.7454000000002,-903.1866
2421,-998.5405000000001,-993.4338000000002,-918.5353399999999
2422,-1000.0,-991.2212,-991.3368500000001
2423,-1000.0,-987.8533000000002,-1000.0
2424,-1000.0,-986.2565999999995,-993.7701399999999
2425,-1000.0,-984.7970999999998,-974.9367999999998
2426,-1000.0,-984.4432000000002,-964.9272
2427,-1000.0,-984.3077000000001,-955.5495
2428,-1000.0,-986.9557500000001,-957.55304
2429,-1000.0,-989.7572599999999,-887.6786500000001
2430,-988.9975599999998,-993.2908299999995,-327.63733
2431,-988.6091999999999,-993.4884999999999,81.2171699999999
2432,-980.3728599999995,-995.3218399999998,-458.74141999999983
2433,-981.53845,-989.1247000000001,-1000.0
2434,-943.098899999999,-990.18604,-1000.0
2435,-905.9179000000004,-994.1857000000001,-1000.0
2436,-874.4220600000008,-995.3877,-1000.0
2437,-870.6427600000006,-996.4930400000001,-1000.0
2438,-869.3819999999996,-995.5950999999997,-1000.0
2439,-885.5530400000007,-992.8524,-996.6316500000003
2440,-926.1885999999995,-988.9795499999998,-984.3570000000009
2441,-1000.0,-991.25146,-1000.0
2442,-971.6662999999999,-995.0480999999997,-607.5630499999999
2443,-976.9525999999996,-995.2720999999999,-483.5181299999999
2444,-959.8163999999988,-993.3822599999999,-811.0430000000001
2445,-976.4158300000008,-991.5111699999998,-934.6558999999997
2446,-968.4943000000003,-984.2441399999998,-909.6333999999997
2447,-975.4850000000006,-977.6203599999999,-896.8036000000002
2448,-980.0578000000005,-977.7370000000001,-889.4790599999997
2449,-997.1349500000006,-977.9472700000001,-908.5624399999997
2450,-1000.0,-977.4225000000001,-928.8094000000001
2451,-1000.0,-978.8320999999996,-952.6530999999995
2452,-1000.0,-981.5007999999998,-965.3413
2453,-1000.0,-984.5392000000002,-993.3874500000002
2454,-1000.0,-992.6333600000003,-1000.0
2455,-964.2768999999989,-992.7313000000004,-781.0710400000003
2456,-967.4903599999998,-993.5391999999997,-821.2626
2457,-1000.0,-991.9538999999995,-987.7639999999999
2458,-1000.0,-989.5787,-1000.0
2459,-1000.0,-988.1800499999999,-1000.0
2460,-970.5024400000002,-989.6541,-1000.0
2461,-974.5105600000006,-989.2474399999999,-1000.0
2462,-962.4861999999994,-988.20514,-1000.0
2463,-975.6327999999994,-987.6735000000001,-1000.0
2464,-1000.0,-990.2193000000002,-1000.0
2465,-1000.0,-998.3221400000002,-906.9297500000002
2466,-1000.0,-995.4125400000003,273.15335000000005
2467,-983.9638699999996,-994.4535500000002,929.6217999999999
2468,-980.5258000000003,-994.7909,1000.0
2469,-981.2121999999999,-993.8578499999999,1000.0
2470,-1000.0,-993.569,822.9664300000004
2471,-1000.0,-994.3273000000002,205.78719
2472,-1000.0,-994.2906500000001,-308.88187000000016
2473,-988.6743999999999,-993.1941000000002,-525.0646999999999
2474,-983.2992599999998,-992.0945000000004,-580.97363
2475,-975.0614999999998,-990.6902500000001,-550.02747
2476,-967.9541600000002,-989.7619000000002,-531.5034
2477,-974.1210300000002,-990.2566500000003,-245.23937999999998
2478,-980.5331400000005,-993.2897000000005,469.92218
2479,-981.2928999999995,-994.1114000000002,835.0275999999999
2480,-979.20856,-996.1215000000002,172.0923200000002
2481,-975.8724000000002,-990.9414700000001,-995.9851699999999
2482,-942.1555000000008,-993.8145,-1000.0
2483,-889.2955000000002,-996.4533000000001,-1000.0
2484,-860.8919700000006,-998.3090000000001,-1000.0
2485,-848.8660999999993,-997.4187,-1000.0
2486,-849.3780999999999,-994.2446000000001,-977.7058000000006
2487,-869.3281999999999,-990.4668,-959.2358999999997
2488,-915.4079999999994,-986.3924,-967.8476999999998
2489,-1000.0,-990.5538999999999,-1000.0
