,Timestep,Line,Actual,Predicted
322,2268,2,6108.987,6650.0327
323,2268,3,-2353.74,-2313.7043
324,2269,1,-3622.9143,-4335.1353
325,2269,2,5734.8047,6328.2637
326,2269,3,-2111.8904,-2091.9473
327,2270,1,-3421.599,-4199.354
328,2270,2,5333.798,5958.1514
329,2270,3,-1912.1991,-1885.5216
330,2271,1,-2905.2432,-3802.9
331,2271,2,4516.4097,4885.541
332,2271,3,-1611.1663,-1053.3789
333,2272,1,-2539.0586,-3393.3328
334,2272,2,3881.242,4059.2942
335,2272,3,-1342.1832,-496.8086
336,2273,1,-2505.4006,-2937.2134
337,2273,2,2619.1724,2637.8423
338,2273,3,-113.77151,546.5883
339,2274,1,-2814.8752,-2740.0188
340,2274,2,1089.5698,1027.9164
341,2274,3,1725.3054,1836.0996
342,2275,1,-2858.3052,-2568.946
343,2275,2,431.29056,609.87103
344,2275,3,2427.0144,2142.9595
345,2276,1,-2301.5195,-2565.1213
346,2276,2,482.29724,622.18774
347,2276,3,1819.2222,2124.4392
348,2277,1,-1598.0581,-2283.7927
349,2277,2,611.1964,643.05566
350,2277,3,986.8617,1767.305
351,2278,1,-1069.5306,-1665.2646
352,2278,2,773.4283,650.8774
353,2278,3,296.10208,1111.9327
354,2279,1,-910.20917,-1160.0562
355,2279,2,923.5188,814.2644
356,2279,3,-13.309567,372.0337
357,2280,1,-798.0973,-904.273
358,2280,2,947.88745,996.90704
359,2280,3,-149.79027,-245.57985
360,2281,1,-725.7205,-860.07996
361,2281,2,929.6836,998.6752
362,2281,3,-203.96297,-315.7464
363,2282,1,-691.98987,-850.82513
364,2282,2,923.29895,992.2159
365,2282,3,-231.3091,-309.8549
366,2283,1,-667.5238,-854.71326
367,2283,2,844.29517,991.8681
368,2283,3,-176.77159,-299.50677
369,2284,1,-916.0084,-932.95795
370,2284,2,745.82886,975.8145
371,2284,3,170.17955,-174.7407
372,2285,1,-1921.774,-1087.4396
373,2285,2,528.16266,880.2066
374,2285,3,1393.6115,164.90903
375,2286,1,-2602.9785,-1712.6587
376,2286,2,415.29172,643.95593
377,2286,3,2187.687,1155.1222
378,2287,1,-3059.3823,-2433.4639
379,2287,2,885.8953,840.75726
380,2287,3,2173.487,1640.7162
381,2288,1,-3163.1997,-2896.4697
382,2288,2,1294.6166,1426.006
383,2288,3,1868.5834,1630.256
384,2289,1,-3163.353,-2995.7983
385,2289,2,1604.7642,1799.9088
386,2289,3,1558.589,1449.0591
387,2290,1,-3067.7925,-2998.0588
388,2290,2,1579.9718,1831.9895
389,2290,3,1487.8207,1456.8518
390,2291,1,-2864.2,-3084.2107
391,2291,2,1708.3536,1895.5491
392,2291,3,1155.8464,1497.0955
393,2292,1,-2602.9404,-3009.4011
394,2292,2,1943.6962,2082.9055
395,2292,3,659.24426,1257.4923
396,2293,1,-2484.7678,-2973.784
397,2293,2,2410.5393,2490.5125
398,2293,3,74.22877,822.32904
399,2294,1,-2499.2695,-3096.5068
400,2294,2,3025.7358,3143.6282
401,2294,3,-526.4664,355.24152
402,2295,1,-2200.6575,-2927.5647
403,2295,2,2873.9534,2865.2544
404,2295,3,-673.2959,408.3689
405,2296,1,-2172.1943,-2656.739
406,2296,2,2901.6868,2927.5952
407,2296,3,-729.49255,4.407164
408,2297,1,-2066.752,-2364.0098
409,2297,2,2042.8936,2007.3307
410,2297,3,23.858418,471.98773
411,2298,1,-2338.4902,-2299.0747
412,2298,2,1086.2559,980.4769
413,2298,3,1252.2341,1334.4943
414,2299,1,-2343.3398,-2186.8958
415,2299,2,439.7079,628.8713
416,2299,3,1903.632,1671.8062
417,2300,1,-2053.0627,-2172.2034
418,2300,2,486.1192,625.46826
419,2300,3,1566.9431,1666.9006
420,2301,1,-1539.0669,-1930.2067
421,2301,2,573.2121,642.2383
422,2301,3,965.855,1411.03
423,2302,1,-937.8797,-1474.6417
424,2302,2,764.37964,641.5232
425,2302,3,173.50029,912.9905
426,2303,1,-920.89764,-1041.5706
427,2303,2,947.65576,865.9387
428,2303,3,-26.758194,136.7249
429,2304,1,-899.3526,-896.22125
430,2304,2,987.56586,1005.24756
431,2304,3,-88.21322,-295.58737
432,2305,1,-875.6899,-865.23413
433,2305,2,1036.7184,1010.1599
434,2305,3,-161.0287,-352.94888
435,2306,1,-839.9528,-832.26166
436,2306,2,1040.3381,1019.41327
437,2306,3,-200.3853,-412.65103
438,2307,1,-812.3719,-817.8845
439,2307,2,1058.7655,1020.51337
440,2307,3,-246.3938,-417.70456
441,2308,1,-782.5374,-800.45197
442,2308,2,1173.5131,1024.2273
443,2308,3,-390.97568,-431.51947
