,Timestep,Line,Actual,Predicted
267,2181,24->25,1397.0283,1421.1211
268,2181,47->73,-28.252607,-68.719124
269,2181,47->72,246.89911,200.12473
270,2181,9->10,1000.0,977.23846
271,2181,55->119,999.99994,989.8781
272,2181,89->120,1000.0,1049.0698
273,2182,37->65,-539.8146,-535.6237
274,2182,49->68,-141.00877,-103.59151
275,2182,37->39,-1023.4736,-1043.2614
276,2182,47->68,169.12636,170.661
277,2182,25->47,-354.42004,-382.90616
278,2182,65->68,-908.06024,-730.5363
279,2182,83->25,1226.2474,1097.8525
280,2182,24->25,1353.2329,1410.1945
281,2182,47->73,-89.59881,-69.87622
282,2182,47->72,178.98149,195.98184
283,2182,9->10,1000.0,991.7541
284,2182,55->119,999.99994,987.6591
285,2182,89->120,1000.0,1032.9215
286,2183,37->65,-510.87888,-544.1818
287,2183,49->68,-148.70856,-106.57673
288,2183,37->39,-991.3369,-1085.119
289,2183,47->68,24.16918,163.05109
290,2183,25->47,-391.35593,-387.56342
291,2183,65->68,-926.01874,-740.78357
292,2183,83->25,1583.8981,1157.3855
293,2183,24->25,1643.8846,1452.589
294,2183,47->73,-130.41235,-71.54664
295,2183,47->72,156.6027,194.01257
296,2183,9->10,1000.0,1022.7468
297,2183,55->119,999.99994,984.8897
298,2183,89->120,483.57785,982.1485
299,2184,37->65,-460.0107,-543.3121
300,2184,49->68,-133.39653,-112.98295
301,2184,37->39,-906.3255,-1121.9542
302,2184,47->68,-35.105724,105.612175
303,2184,25->47,-339.70828,-376.72156
304,2184,65->68,-817.27435,-763.4903
305,2184,83->25,1456.3295,1292.2583
306,2184,24->25,1515.7056,1517.0137
307,2184,47->73,-163.06108,-102.18516
308,2184,47->72,111.98175,167.39534
309,2184,9->10,1000.0,1035.4854
310,2184,55->119,999.99994,986.9148
311,2184,89->120,849.8046,899.5779
312,2185,37->65,-442.77588,-542.379
313,2185,49->68,-127.02627,-110.395645
314,2185,37->39,-873.55365,-1147.5452
315,2185,47->68,-38.925827,76.00261
316,2185,25->47,-329.14066,-377.74603
317,2185,65->68,-775.6316,-745.56274
318,2185,83->25,1403.1981,1310.3761
319,2185,24->25,1468.5405,1552.1873
320,2185,47->73,-159.5758,-106.44729
321,2185,47->72,108.518265,158.45557
322,2185,9->10,1000.0,1034.5074
