,Timestep,Line,Actual,Predicted
287,2183,49->68,-148.70856,-115.24762
288,2183,37->39,-991.3369,-1063.4971
289,2183,47->68,24.16918,97.7334
290,2183,25->47,-391.35593,-394.6198
291,2183,65->68,-926.01874,-735.9076
292,2183,83->25,1583.8981,1153.0208
293,2183,24->25,1643.8846,1475.3186
294,2183,47->73,-130.41235,-100.99224
295,2183,47->72,156.6027,173.7876
296,2183,9->10,1000.0,972.28424
297,2183,55->119,999.99994,985.95605
298,2183,89->120,483.57785,869.84076
299,2184,37->65,-460.0107,-542.49255
300,2184,49->68,-133.39653,-115.83908
301,2184,37->39,-906.3255,-1098.7255
302,2184,47->68,-35.105724,68.88556
303,2184,25->47,-339.70828,-389.4688
304,2184,65->68,-817.27435,-742.23364
305,2184,83->25,1456.3295,1199.084
306,2184,24->25,1515.7056,1485.6962
307,2184,47->73,-163.06108,-117.006
308,2184,47->72,111.98175,164.22736
309,2184,9->10,1000.0,978.24805
310,2184,55->119,999.99994,985.7572
311,2184,89->120,849.8046,865.22437
312,2185,37->65,-442.77588,-547.9372
313,2185,49->68,-127.02627,-115.03298
314,2185,37->39,-873.55365,-1119.8579
315,2185,47->68,-38.925827,52.127884
316,2185,25->47,-329.14066,-386.452
317,2185,65->68,-775.6316,-740.7742
318,2185,83->25,1403.1981,1226.7306
319,2185,24->25,1468.5405,1491.6566
320,2185,47->73,-159.5758,-124.03475
321,2185,47->72,108.518265,158.41031
322,2185,9->10,1000.0,983.19104
323,2185,55->119,999.99994,985.6779
324,2185,89->120,918.3073,864.6933
325,2186,37->65,-436.0367,-548.39404
326,2186,49->68,-121.58392,-110.49369
327,2186,37->39,-852.45526,-1127.8896
328,2186,47->68,-4.1187515,52.810738
329,2186,25->47,-340.41083,-388.16663
330,2186,65->68,-747.321,-721.531
331,2186,83->25,1358.417,1214.0581
332,2186,24->25,1440.5543,1482.1187
333,2186,47->73,-124.8607,-114.59045
334,2186,47->72,133.39383,161.91624
335,2186,9->10,1000.0,984.5081
336,2186,55->119,999.99994,984.26544
337,2186,89->120,831.2982,859.3661
338,2187,37->65,-447.0964,-547.1803
339,2187,49->68,-129.83125,-104.73884
340,2187,37->39,-852.0656,-1132.1812
341,2187,47->68,9.776242,59.456707
342,2187,25->47,-348.3664,-391.4804
343,2187,65->68,-801.69495,-698.7938
344,2187,83->25,1442.34,1184.0127
345,2187,24->25,1443.9371,1461.6204
346,2187,47->73,-104.94996,-99.007675
347,2187,47->72,144.54427,170.14113
348,2187,9->10,1000.0,982.8214
349,2187,55->119,999.99994,982.24963
350,2187,89->120,263.4413,851.48773
351,2188,37->65,-441.60367,-539.8203
352,2188,49->68,-122.79887,-97.223885
353,2188,37->39,-823.22156,-1110.1019
354,2188,47->68,76.60771,79.880554
355,2188,25->47,-373.53357,-395.3243
356,2188,65->68,-770.0866,-666.341
357,2188,83->25,1373.5045,1126.0603
358,2188,24->25,1417.1687,1432.2621
359,2188,47->73,-46.024517,-72.28617
360,2188,47->72,190.45326,179.69513
361,2188,9->10,1000.0,984.8735
362,2188,55->119,999.99994,980.1443
363,2188,89->120,181.57625,849.8779
364,2189,37->65,-428.05896,-530.4587
365,2189,49->68,-108.641914,-87.822136
366,2189,37->39,-792.67065,-1079.8427
367,2189,47->68,145.41838,95.705925
368,2189,25->47,-397.28036,-395.11664
369,2189,65->68,-693.7575,-622.22906
370,2189,83->25,1243.4879,1077.1519
371,2189,24->25,1374.9147,1412.8616
372,2189,47->73,14.6352415,-49.094727
373,2189,47->72,238.44153,180.20473
374,2189,9->10,1000.0,983.18274
375,2189,55->119,999.99994,979.41376
376,2189,89->120,356.82477,858.6358
377,2190,37->65,-397.9429,-523.069
378,2190,49->68,-96.68199,-79.08838
379,2190,37->39,-716.87775,-1064.0916
380,2190,47->68,187.66396,105.35559
381,2190,25->47,-338.93845,-395.2422
382,2190,65->68,-619.8653,-574.62646
383,2190,83->25,977.66656,1034.9935
384,2190,24->25,1102.4645,1393.7203
385,2190,47->73,27.929474,-28.594385
386,2190,47->72,222.71445,184.34213
387,2190,9->10,1000.0,981.32605
388,2190,55->119,999.99994,979.25433
389,2190,89->120,689.6042,861.52423
390,2191,37->65,-393.19998,-519.76636
391,2191,49->68,-81.00457,-66.97558
392,2191,37->39,-711.3999,-1082.3617
393,2191,47->68,232.68526,109.95177
394,2191,25->47,-279.11133,-398.5408
395,2191,65->68,-540.6767,-510.8853
396,2191,83->25,702.6574,979.9005
397,2191,24->25,821.2186,1374.8992
398,2191,47->73,38.526062,-9.690975
399,2191,47->72,206.74582,194.84586
400,2191,9->10,1000.0,977.3488
401,2191,55->119,999.99994,979.19196
402,2191,89->120,1000.0,865.4082
403,2192,37->65,-424.6826,-524.53265
404,2192,49->68,-69.0648,-56.245205
405,2192,37->39,-834.3616,-1154.7856
406,2192,47->68,229.04521,103.565796
407,2192,25->47,-305.2868,-405.273
408,2192,65->68,-493.15115,-452.4963
409,2192,83->25,724.9333,931.5269
410,2192,24->25,896.8724,1377.2432
411,2192,47->73,47.986576,-4.2049327
412,2192,47->72,225.87427,208.9997
413,2192,9->10,1000.0,975.93933
414,2192,55->119,999.99994,979.207
415,2192,89->120,1000.0,868.5013
416,2193,37->65,-496.61514,-560.46826
417,2193,49->68,-31.567606,-38.939457
418,2193,37->39,-1168.2782,-1376.7566
419,2193,47->68,164.6008,48.443554
420,2193,25->47,-469.81332,-413.61975
421,2193,65->68,-324.8913,-372.20743
422,2193,83->25,1029.5073,939.0802
423,2193,24->25,1459.8795,1401.2163
424,2193,47->73,90.24558,-29.263489
425,2193,47->72,325.31842,224.29807
426,2193,9->10,1000.0,953.95703
427,2193,55->119,999.99994,981.27747
428,2193,89->120,1000.0,869.4025
429,2194,37->65,-651.3299,-610.8371
430,2194,49->68,11.939373,-10.672513
431,2194,37->39,-1791.7906,-1665.064
432,2194,47->68,-43.089745,-42.01058
433,2194,25->47,-505.5886,-416.42203
434,2194,65->68,-168.69463,-254.06638
435,2194,83->25,1295.6616,985.46814
436,2194,24->25,1787.2872,1438.3806
437,2194,47->73,7.191947,-67.47188
438,2194,47->72,290.59683,225.6469
439,2194,9->10,1000.0,917.0901
440,2194,55->119,999.99994,987.7911
441,2194,89->120,1000.0,881.297
442,2195,37->65,-717.62415,-647.11664
443,2195,49->68,87.94148,30.273962
444,2195,37->39,-2229.7976,-1909.186
445,2195,47->68,-227.86873,-108.45896
446,2195,25->47,-497.61975,-425.0922
447,2195,65->68,200.01526,-65.75428
448,2195,83->25,1250.2625,985.94727
449,2195,24->25,1877.0581,1454.7618
450,2195,47->73,-56.17753,-71.08145
451,2195,47->72,252.99805,241.60362
452,2195,9->10,1000.0,879.33655
453,2195,55->119,999.99994,994.04364
454,2195,89->120,1000.0,905.53406
455,2196,37->65,-684.2196,-669.4045
456,2196,49->68,74.261536,55.843914
457,2196,37->39,-2046.0895,-2043.8179
458,2196,47->68,-175.47096,-155.37082
459,2196,25->47,-482.34213,-429.06653
460,2196,65->68,81.693565,49.256348
461,2196,83->25,1179.8112,1003.2145
462,2196,24->25,1868.9209,1453.3665
463,2196,47->73,-91.99472,-79.6997
464,2196,47->72,230.89642,253.17343
465,2196,9->10,1000.0,850.1014
466,2196,55->119,999.99994,997.98315
467,2196,89->120,1000.0,920.34784
468,2197,37->65,-685.7456,-679.87274
469,2197,49->68,84.76309,56.040867
470,2197,37->39,-2052.4668,-2060.214
471,2197,47->68,-147.64406,-189.8018
472,2197,25->47,-485.3085,-422.52213
473,2197,65->68,114.64082,30.505667
474,2197,83->25,1081.5726,1059.7029
475,2197,24->25,1868.5591,1448.8896
476,2197,47->73,-94.00619,-105.976875
477,2197,47->72,235.43747,241.52513
478,2197,9->10,1000.0,834.541
479,2197,55->119,999.99994,999.25104
480,2197,89->120,1000.0,916.8241
481,2198,37->65,-675.05676,-685.7344
482,2198,49->68,71.55464,47.737022
483,2198,37->39,-1973.7188,-2035.4503
484,2198,47->68,-145.46164,-213.92004
485,2198,25->47,-474.1627,-415.04114
486,2198,65->68,35.84055,-32.215973
487,2198,83->25,1116.5156,1121.8704
488,2198,24->25,1862.3052,1447.5408
489,2198,47->73,-109.4459,-133.66763
490,2198,47->72,219.82884,226.58205
491,2198,9->10,1000.0,811.2327
492,2198,55->119,999.99994,999.17
493,2198,89->120,1000.0,887.2583
494,2199,37->65,-677.8703,-680.7749
495,2199,49->68,47.960316,36.576122
496,2199,37->39,-1923.1368,-1957.2361
497,2199,47->68,-166.37587,-194.56691
498,2199,25->47,-461.05743,-419.69482
499,2199,65->68,-90.49143,-93.68884
500,2199,83->25,1243.6038,1156.358
501,2199,24->25,1864.5406,1456.3507
502,2199,47->73,-124.0129,-127.635445
503,2199,47->72,199.60031,227.70105
504,2199,9->10,1000.0,811.74725
505,2199,55->119,999.99994,997.4724
506,2199,89->120,1000.0,859.26105
507,2200,37->65,-694.52997,-647.08374
508,2200,49->68,59.43337,10.902226
509,2200,37->39,-2031.3591,-1731.0365
510,2200,47->68,-208.05731,-127.48158
511,2200,25->47,-474.50665,-424.2877
512,2200,65->68,15.250737,-207.96695
513,2200,83->25,1305.3843,1136.0798
514,2200,24->25,1855.2885,1417.9547
515,2200,47->73,-83.212456,-102.32945
516,2200,47->72,223.61487,237.7562
517,2200,9->10,1000.0,837.20636
518,2200,55->119,999.99994,991.04016
519,2200,89->120,1000.0,822.2051
520,2201,37->65,-595.0242,-540.41034
521,2201,49->68,-55.654976,-33.152515
522,2201,37->39,-1291.8948,-1228.3231
523,2201,47->68,197.92027,19.56457
524,2201,25->47,-428.80096,-410.0956
525,2201,65->68,-570.5424,-389.0421
526,2201,83->25,1069.998,996.59393
527,2201,24->25,1394.2744,1277.4081
528,2201,47->73,33.23682,-58.316025
529,2201,47->72,280.18027,257.31604
530,2201,9->10,1000.0,932.2284
531,2201,55->119,999.99994,978.4183
532,2201,89->120,1000.0,834.8775
533,2202,37->65,-392.14523,-374.95117
534,2202,49->68,-30.562798,-51.354126
535,2202,37->39,-605.69257,-594.45416
536,2202,47->68,195.27094,170.27914
537,2202,25->47,-374.11227,-351.98755
538,2202,65->68,-367.49152,-446.45135
539,2202,83->25,811.53296,744.533
540,2202,24->25,1207.3052,1053.9388
541,2202,47->73,46.21965,-8.951617
542,2202,47->72,239.01425,236.38165
543,2202,9->10,1000.0,1005.8802
544,2202,55->119,999.99994,979.78564
545,2202,89->120,1000.0,940.8308
546,2203,37->65,-212.46687,-300.68936
547,2203,49->68,-36.101612,-49.982086
548,2203,37->39,-76.52378,-353.13187
549,2203,47->68,220.6332,219.26207
550,2203,25->47,-257.15433,-313.73877
551,2203,65->68,-308.2945,-439.9674
552,2203,83->25,533.3139,577.9869
553,2203,24->25,638.27454,956.9445
554,2203,47->73,56.08762,14.986996
555,2203,47->72,223.1607,201.11658
556,2203,9->10,1000.0,1019.75793
557,2203,55->119,999.99994,985.72424
