,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
2154,1179.22794,1524.5247,11887.957353000002,3199.02,1728.2549999999999,2230.9245
2155,1181.97552,1528.7256,11858.275588499999,3286.6679999999997,1728.66,2160.5535
2156,1179.83514,1498.3946999999998,11800.872522,3238.818,1728.84,2127.6989999999996
2157,1169.0118,1503.3594,11655.536856,3103.254,1728.9075,2229.8219999999997
2158,1154.42382,1505.4497999999999,11480.9190735,2895.816,1728.885,2403.009
2159,1134.73536,1507.9221,11264.943622499999,2632.674,1728.7725,2567.3445
2160,1110.91794,1516.9871999999998,11055.390449999997,2426.292,1728.795,2652.3945
2161,1079.32836,1502.4951,10867.29783,2283.072,1728.5249999999999,2671.8615
2162,1040.8015200000002,1482.0936000000002,10724.499466500001,2290.2,1727.7825,2629.053
2163,994.3962600000001,1442.1549,10697.282865000001,2333.232,1726.68,2567.2815
2164,938.2454399999999,1398.8595,10725.382287,2360.094,1724.5140000000001,2549.7045
